Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,CompEff_standard
5,East,15,C,Short,Resistance,Mix,Fes,FesMix,8.73,20.99,3.97,0.941014244,0.598790507,-0.342223737,8.73,20.99,17.92,243.94084,30.9,50,0,0,0.06491341,-0.407137147
1,East,5,A,Short,Control,Mix,Pha,PhaMix,28.35,89.14,54.9375,1.452553063,1.739868892,0.287315829,28.35,89.14,29.02902042,284.400922,29.2,70,0,2,0.31125801,-0.023942181
1,East,10,A,Short,Control,Mix,Pha,PhaMix,28.83,139.74,54.9375,1.459844642,1.739868892,0.28002425,28.83,139.74,27.3119983,272.685185,28.05,100,0,2,0.31125801,-0.03123376
1,East,12,C,Short,Control,Mix,Pha,PhaMix,28.53,113.44,54.9375,1.455301772,1.739868892,0.28456712,28.53,113.44,28.08874299,295.375723,24.9,60,0,2,0.31125801,-0.02669089
1,East,16,C,Short,Control,Mix,Pha,PhaMix,22.22,114.98,54.9375,1.346744055,1.739868892,0.393124837,22.22,114.98,30.6139256,272.8358209,22.45,60,0,2,0.31125801,0.081866827
2,West,4,A,Short,Recovery,Mix,Pha,PhaMix,6.4,38.31,32.6,0.806179974,1.5132176,0.707037626,6.4,38.31,29.34506772,206.3767272,30.8,50,0,1,0.31125801,0.395779616
2,West,6,C,Short,Recovery,Mix,Pha,PhaMix,7.54,45.37,32.6,0.877371346,1.5132176,0.635846254,7.54,45.37,27.14435326,200.4444444,46.8,25,0,1,0.31125801,0.324588244
4,East,1,C,Short,Recovery,Mix,Pha,PhaMix,7.9,40.78,32.6,0.897627091,1.5132176,0.615590509,7.9,40.78,28.15861952,202.3781042,35.9,30,0,1,0.31125801,0.304332499
4,East,5,A,Short,Recovery,Mix,Pha,PhaMix,6.87,32.05,32.6,0.836956737,1.5132176,0.676260863,6.87,32.05,27.863249,204.0983607,31.7,30,0,1,0.31125801,0.365002853
5,East,6,B,Short,Recovery,Mix,Pha,PhaMix,7.2,29.34,32.6,0.857332496,1.5132176,0.655885104,7.2,29.34,28.94393994,216.0335196,35.65,40,0,1,0.31125801,0.344627094
5,East,10,C,Short,Recovery,Mix,Pha,PhaMix,5.64,36.1,32.6,0.751279104,1.5132176,0.761938496,5.64,36.1,29.99961161,220.8986572,39.7,40,0,1,0.31125801,0.450680486
2,West,11,B,Short,Resistance,Mix,Pha,PhaMix,4.66,9.5892,5.207143,0.668385917,0.716599505,0.048213588,4.66,9.5892,28.36,158.49,31.6,25,0,0,0.31125801,-0.263044422
2,West,16,C,Short,Resistance,Mix,Pha,PhaMix,3.16,11.6032,5.207143,0.499687083,0.716599505,0.216912422,3.16,11.6032,32.87,184.65,NA,NA,0,0,0.31125801,-0.094345588
4,East,11,C,Short,Resistance,Mix,Pha,PhaMix,3.24,17.2832,5.207143,0.51054501,0.716599505,0.206054495,3.24,17.2832,36.25,155.21,25.9,45,0,0,0.31125801,-0.105203515
4,East,16,C,Short,Resistance,Mix,Pha,PhaMix,4.07,16.0082,5.207143,0.609594409,0.716599505,0.107005096,4.07,16.0082,31.02,168.67,31.8,40,0,0,0.31125801,-0.204252914
5,East,12,B,Short,Resistance,Mix,Pha,PhaMix,8.05,25.87,5.207143,0.90579588,0.716599505,-0.189196375,8.05,25.87,28.97,173.04,35.2,40,0,0,0.31125801,-0.500454385
5,East,15,A,Short,Resistance,Mix,Pha,PhaMix,5.84,20.99,5.207143,0.766412847,0.716599505,-0.049813342,5.84,20.99,28.090119,206.5619339,42.3,30,0,0,0.31125801,-0.361071352
1,East,5,C,Short,Control,Mix,Rye,RyeMix,38.43,89.14,61.67,1.584670384,1.790073948,0.205403564,38.43,89.14,18.36857676,238.6138614,47.05,60,0,2,0.19165497,0.013748594
1,East,10,B,Short,Control,Mix,Rye,RyeMix,45.03,139.74,61.67,1.653501947,1.790073948,0.136572001,45.03,139.74,19.66266055,267.002681,33.6,90,0,2,0.19165497,-0.055082969
