Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,RelCompEffect,RelCompEffect_pos,RelCompEffect_0to1,CompEffect_diff
5,East,12,C,Short,Resistance,Mix,Rye,RyeMix,10.21,25.87,12.051429,1.009025742,1.081038546,0.072012804,10.21,25.87,25.63,295.57,47.1,60,0,0,0.19165497,0.375741907,7.020356695,0.632343595,-0.119642166
3,West,1,A,Double,Recovery,Mix,Fes,FesMix,39.75,102.91,47.821667,1.599337133,1.679624711,0.080287578,39.75,102.91,18.14328735,189.8368679,41.7,170,0,1,0.24852662,0.323054239,6.967669027,0.627597866,-0.168239042
6,West,3,C,Double,Recovery,Mix,Rye,RyeMix,44.26,137.55,55.83,1.64601141,1.746867628,0.100856218,44.26,137.55,26.13842058,191.0447761,54.65,130,10,1,0.28484924,0.354068763,6.998683551,0.630391433,-0.183993022
5,East,10,B,Short,Recovery,Mix,Fes,FesMix,10.97,36.4,13.881667,1.040206628,1.142441622,0.102234994,10.97,36.4,20.8940806,255.084808,36,30,0,1,0.06491341,1.574944129,8.219558917,0.740359166,0.037321584
6,West,5,C,Double,Resistance,Mix,Rye,RyeMix,12.91,29.2,16.388333,1.110926242,1.21453478,0.103608538,12.91,29.2,29.25776718,193.5099338,35,30,0,0,0.28484924,0.363731137,7.008345925,0.63126175,-0.181240702
4,East,16,C,Short,Resistance,Mix,Pha,PhaMix,4.07,16.0082,5.207143,0.609594409,0.716599505,0.107005096,4.07,16.0082,31.02,168.67,31.8,40,0,0,0.31125801,0.343782626,6.988397414,0.629464931,-0.204252914
3,West,1,C,Double,Recovery,Mix,Rye,RyeMix,42.94,102.91,55.83,1.63286204,1.746867628,0.114005588,42.94,102.91,25.50055949,182.0276498,44.45,130,0,1,0.28484924,0.400231322,7.04484611,0.634549426,-0.170843652
5,West,4,A,Double,Recovery,Mix,Pha,PhaMix,41.98,137.12,56.148333,1.623042434,1.749336867,0.126294433,41.98,137.12,30.08654,216.4744646,41.65,120,2,1,0.31227201,0.40443725,7.049052038,0.634928266,-0.185977577
5,East,15,B,Short,Resistance,Mix,Rye,RyeMix,8.93,20.99,12.051429,0.950851459,1.081038546,0.130187087,8.93,20.99,24.91,301.19,45.17,60,0,0,0.19165497,0.679278429,7.323893217,0.659683997,-0.061467883
3,West,6,A,Double,Recovery,Mix,Fes,FesMix,35.19,112.93,47.821667,1.546419267,1.679624711,0.133205444,35.19,112.93,19.916155,179.48616,33.4,90,0,1,0.24852662,0.535980588,7.180595376,0.646776751,-0.115321176
