"","Date","UID","Treatment","Spp","Shelter","Rep","sRep","Side","gs.max","VPD.kpa.max","SoilM"
"221",2018-10-23,"3l-Fes","Long","Fes",6,2,"A","East",224.4,2.48273037998057,0.104
"222",2018-10-23,"3x-Fes","Double","Fes",6,1,"A","West",207.3,2.51242811179852,0.04
"223",2018-10-31,"1l-Fes","Long","Fes",1,6,"A","West",151.9,2.0988348917198,0.035
"224",2018-10-31,"1x-Fes","Double","Fes",3,7,"A","West",135.9,2.56782982419369,0.132
"225",2018-10-31,"2l-Fes","Long","Fes",4,4,"A","West",272.5,2.18863686657163,0.047
"226",2018-10-31,"2x-Fes","Double","Fes",5,6,"A","West",33.9,3.8220102788818,-0.004
"227",2018-10-31,"3l-Fes","Long","Fes",6,2,"A","East",139.1,2.56489539953856,0.093
"228",2018-10-31,"3x-Fes","Double","Fes",6,1,"A","West",59.3,3.32235372624538,0.063
"229",2018-06-21,"1l-Phal","Long","Phal",1,15,"A","West",377.2,1.41322552879367,0.091
"230",2018-06-21,"1s-Phal","Short","Phal",2,1,"A","West",193,1.87601147591804,0.1
"231",2018-06-21,"1x-Phal","Double","Phal",3,11,"A","West",422,1.55704835306154,0.119
"232",2018-06-21,"2l-Phal","Long","Phal",4,11,"A","West",367.3,1.69387694701482,0.105
"233",2018-06-21,"2s-Phal","Short","Phal",4,10,"A","East",492.1,1.80840303922164,0.097
"234",2018-06-21,"2x-Phal","Double","Phal",5,7,"A","West",484.3,1.62335101998032,0.106
"235",2018-06-21,"3l-Phal","Long","Phal",6,7,"A","East",350.9,2.21194373747504,0.06
"236",2018-06-21,"3s-Phal","Short","Phal",5,1,"A","East",402.5,1.24948612284814,0.06
"237",2018-06-21,"3x-Phal","Double","Phal",6,13,"A","West",449.7,1.20468135440266,0.091
"238",2018-06-29,"1l-Phal","Long","Phal",1,15,"A","West",483.3,1.68197598112448,0.07
"239",2018-06-29,"1s-Phal","Short","Phal",2,1,"A","West",307.5,1.40369190061778,0.076
"240",2018-06-29,"1x-Phal","Double","Phal",3,11,"A","West",312.3,1.08883407737979,0.094
"241",2018-06-29,"2l-Phal","Long","Phal",4,11,"A","West",326.9,1.09920540398971,0.094
"242",2018-06-29,"2s-Phal","Short","Phal",4,10,"A","East",335.8,1.36003982494165,0.078
"243",2018-06-29,"2x-Phal","Double","Phal",5,7,"A","West",303.7,1.34332737383566,0.081
"244",2018-06-29,"3l-Phal","Long","Phal",6,7,"A","East",370.6,1.37637304231474,0.051
"245",2018-06-29,"3s-Phal","Short","Phal",5,1,"A","East",377.3,1.22074338104632,0.051
